City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
304,Carnot,CF,4/27/22 17:27,4.9409,15.8665,76.01,77,93,2.8
305,Haines Junction,CA,4/27/22 17:27,60.7522,-137.5108,39.15,75,77,1.14
306,Aba,NG,4/27/22 17:27,5.1066,7.3667,76.55,89,100,7.63
307,Nuuk,GL,4/27/22 17:23,64.1835,-51.7216,36.21,93,100,35.68
308,Vicuna,CL,4/27/22 17:27,-30.0319,-70.7081,74.77,32,0,7.47
309,Valley,US,4/27/22 17:27,45.1277,-116.1262,36.21,74,100,2.86
310,Alofi,NU,4/27/22 17:27,-19.0595,-169.9187,73.29,94,87,8.05
311,Rapina,EE,4/27/22 17:27,58.0981,27.4636,35.94,46,28,5.68
312,Linhares,BR,4/27/22 17:27,-19.3911,-40.0722,88.3,36,8,8.72
313,Clarence Town,AU,4/27/22 17:28,-32.5833,151.7833,67.95,98,100,0.94
