City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
335,Kanelovskaya,RU,46.5908,39.19,59.7,57,70,9.19,broken clouds
336,Sovetskiy,RU,61.3614,63.5842,36.1,98,100,4.59,light rain
337,Ewa Beach,US,21.3156,-158.0072,78.6,66,40,12.66,scattered clouds
338,Matay,EG,28.419,30.7792,81.75,12,70,9.42,broken clouds
339,Pizarro,CO,4.9533,-77.366,82.24,79,59,8.55,light rain
340,Porto Walter,BR,-8.2686,-72.7439,87.3,63,100,1.74,overcast clouds
341,Verkhnyaya Balkariya,RU,43.1279,43.4573,54.52,88,100,1.57,overcast clouds
342,Shenjiamen,CN,29.9576,122.298,57.58,96,100,25.72,moderate rain
343,Salon-De-Provence,FR,43.6407,5.0954,69.03,51,0,6.91,clear sky
344,Narasannapeta,IN,18.4167,84.05,80.24,87,22,4.92,few clouds
345,Kloulklubed,PW,7.0419,134.2556,81.59,77,100,4.61,heavy intensity rain
346,Oruro,BO,-17.9833,-67.15,63.09,24,40,6.91,scattered clouds
347,Dimbokro,CI,6.6451,-4.7048,76.98,79,100,2.98,overcast clouds
